tick,avg-satisfaction,avg-satisfaction1,avg-satisfaction2,avg-satisfaction3,num-absent
59,-0.8556881110192035,-1.3376884070648214,-0.7728655579467006,-0.4565103680460888,507
60,-0.8760669485116557,-1.3620957381531253,-0.8150297767085896,-0.45107533067325023,498
61,-0.860291653549777,-1.338405562945512,-0.80708391927037,-0.43538547843344816,435
62,-0.8230851177632088,-1.2810790816208597,-0.7678556216348695,-0.42032065003390007,412
63,-0.7785401163092226,-1.2014247722131095,-0.7399747867757293,-0.3942207899388258,364
64,-0.7376478055473386,-1.1299387618864847,-0.6977730814635158,-0.3852315732920156,305
65,-0.7112214341695172,-1.0518134662335108,-0.6801851648307871,-0.4016656714442542,274
66,-0.6925907154085807,-1.0274505441814414,-0.6543990570417084,-0.39592254500259383,268
67,-0.6861215561940817,-1.0127794914566972,-0.6573178056543849,-0.38826737147116286,252
68,-0.6736909133550072,-0.9898262868313478,-0.652055895206297,-0.3791905580273795,261
69,-0.6750626158809658,-1.0135530812596332,-0.6433942592043732,-0.3682405071788926,267
70,-0.690131059656147,-1.03783563654092,-0.6635642996788021,-0.36899324274871453,298
71,-0.7235991584519255,-1.077159559359236,-0.6986192162796541,-0.39501869971688885,338
72,-0.7642469132266383,-1.134875582327294,-0.7408661566689633,-0.41699900068365675,390
73,-0.7927794718105425,-1.1942389806660376,-0.7667970631721093,-0.4173023715934822,404
74,-0.7953012628533939,-1.226404860094965,-0.7525475684702615,-0.4069513599949545,411
75,-0.7839163848774108,-1.2256701733584763,-0.7372459343108365,-0.3888330469629211,385
76,-0.7790947915743821,-1.2237427582654357,-0.7286772127612777,-0.3848644036964305,392
77,-0.7788024299927319,-1.1845275281277126,-0.741898666224814,-0.40998109562566887,382
78,-0.7913050066162844,-1.1872555041295458,-0.7456167338672092,-0.4410427818520977,375
79,-0.7909522691366379,-1.1742769415814216,-0.7385140813403507,-0.46006578448814317,367
80,-0.7728783627943969,-1.1446367919600478,-0.7294184519634287,-0.4445798444597118,361
81,-0.7423294044923672,-1.1063729874694663,-0.6987363357954348,-0.4218788902121968,331
82,-0.7172549627914422,-1.0668429815841343,-0.6787280845488122,-0.406193822241383,300
83,-0.6986154981238069,-1.044775411732865,-0.6700343904521214,-0.38103669218643116,289
84,-0.7079702486699818,-1.0510594658656172,-0.674148181664318,-0.3987030984800114,305
85,-0.7281488601438687,-1.081160885097449,-0.6966599184800677,-0.40662577685408846,317
86,-0.7441212494951098,-1.1193042300800844,-0.7073789418722007,-0.405680576533039,340
87,-0.755320589249065,-1.1602263391976224,-0.7101941845869209,-0.3955412439626537,349
88,-0.7717364214795582,-1.2044749889664301,-0.7158974431011322,-0.39483683237111467,374
89,-0.787578329329072,-1.232693183464017,-0.7353933291021149,-0.3946484754210878,403
90,-0.8003636829608973,-1.2350002861818026,-0.7620763388038936,-0.4040144238969952,409
91,-0.7997236372046962,-1.21391919458843,-0.7678341525696566,-0.4174175644560084,406
92,-0.7900773643746721,-1.162185548019627,-0.7703340917483535,-0.4377124533560361,387
93,-0.7700797434175273,-1.1315316812985794,-0.739112335278111,-0.43959521367589444,363
94,-0.7453185303760453,-1.0855405393025408,-0.7094653098093822,-0.4409497420162089,337
95,-0.740479281012971,-1.068605909845884,-0.7122735064417883,-0.44055842675124807,357
96,-0.7419035743130493,-1.0896992162624788,-0.7077747479672262,-0.4282367587094426,339
97,-0.7456001984909179,-1.11877751183625,-0.7033369473721055,-0.4146861362643996,333
98,-0.7556191547770269,-1.1354900698824593,-0.7238005253996496,-0.407566869048964,338
99,-0.7626404365513023,-1.1504953364384012,-0.7421393512649451,-0.39528662195056125,340
